beta_manual,beta_acclka,sigma_z_manual,sigma_z_acclka,sigma_manual,sigma_acclka,gamma_manual__1,gamma_manual__3,gamma_manual__4,gamma_manual__10,gamma_manual__11,gamma_manual__13,gamma_manual__14,gamma_manual__17,gamma_acclka__2,gamma_acclka__3,gamma_acclka__5,gamma_acclka__6,gamma_acclka__7,gamma_acclka__8,gamma_acclka__9,gamma_acclka__11,gamma_acclka__12,gamma_acclka__14,gamma_acclka__15,gamma_acclka__16
2.01569,2.02964,0.00674,0.05048,0.44686,0.48268,0.00138,0.00578,-0.00358,-0.00596,-0.01104,-0.00650,-0.00577,0.00274,-0.02803,-0.06883,0.03841,0.00931,0.06195,0.04661,0.00600,0.07281,0.00851,-0.00499,-0.00879,-0.00681
2.03877,1.98787,0.03008,0.13017,0.45490,0.46500,-0.01695,-0.01949,0.00692,0.00228,-0.01654,-0.01039,0.01308,0.04484,-0.07053,-0.10608,0.04584,0.11772,0.09851,0.02440,0.05581,0.16625,-0.08506,-0.00672,-0.12863,0.04942
1.98828,2.02304,0.08498,0.04305,0.49908,0.47604,0.00713,-0.04421,0.01878,-0.03217,-0.02400,0.13344,-0.05873,-0.04074,0.02003,-0.03690,0.01944,0.03906,0.07563,0.01529,-0.00771,-0.02007,0.05851,0.04681,-0.01783,0.02492
1.98926,2.02950,0.09377,0.03319,0.50579,0.47716,-0.03051,-0.10366,0.02328,-0.04137,0.02162,0.13185,-0.07856,0.01744,-0.01231,-0.02751,0.00458,0.01531,0.04789,-0.00178,-0.00217,-0.03839,0.02784,0.03404,-0.04471,0.00600
2.06075,2.02720,0.07992,0.13248,0.48797,0.45352,-0.01090,0.07370,0.06595,-0.00927,-0.08827,-0.11104,-0.02110,-0.07487,0.12161,-0.15903,0.09283,0.05033,0.07608,0.12832,-0.03861,0.18923,-0.06443,-0.09428,-0.12917,0.03805
1.95712,2.02092,0.04382,0.04732,0.49590,0.47583,0.02000,-0.00332,0.00640,0.00083,0.01882,0.03220,-0.00576,0.05531,-0.04657,-0.03046,0.02000,0.02560,0.04610,0.00873,-0.01028,-0.02373,0.03181,-0.00043,-0.04030,0.05176
2.05788,2.02574,0.06501,0.10866,0.49920,0.45744,-0.03554,-0.03917,0.02639,-0.02081,-0.09922,-0.13647,-0.05598,0.01428,0.07984,-0.11495,0.04358,0.04477,0.06019,0.09777,-0.02594,0.18813,-0.04406,-0.03324,-0.10528,0.06028
2.03960,1.93601,0.14151,0.11739,0.48007,0.46887,-0.01556,0.10388,-0.00123,-0.01848,0.02034,-0.00270,-0.00025,-0.02689,0.00291,-0.00268,0.11553,0.10798,0.13355,0.09117,-0.07279,0.07786,0.10191,0.03831,-0.01398,0.19533
2.08392,1.98079,0.12360,0.10086,0.47538,0.48762,-0.05707,0.13146,0.03111,-0.06637,-0.14704,-0.23626,-0.08968,-0.00762,-0.03969,-0.07442,0.07389,0.06009,0.07812,0.12990,-0.04878,0.08029,0.15921,0.08649,-0.06252,0.01388
2.07440,1.98015,0.08824,0.10243,0.47460,0.47757,-0.11739,0.08152,-0.02475,-0.00277,-0.13429,-0.13770,-0.00886,-0.01649,-0.00876,-0.12514,0.08246,0.08926,0.10418,0.05270,-0.01021,0.07436,0.06802,0.07979,-0.02435,0.06543
