beta_manual,beta_acclka,sigma_z_manual,sigma_z_acclka,phi_manual,phi_acclka,gamma_manual__1,gamma_manual__3,gamma_manual__4,gamma_manual__10,gamma_manual__11,gamma_manual__13,gamma_manual__14,gamma_manual__17,gamma_acclka__2,gamma_acclka__3,gamma_acclka__5,gamma_acclka__6,gamma_acclka__7,gamma_acclka__8,gamma_acclka__9,gamma_acclka__11,gamma_acclka__12,gamma_acclka__14,gamma_acclka__15,gamma_acclka__16
0.02029,-0.13111,0.22287,0.14231,16.13684,14.16278,-0.00918,0.13592,-0.18862,-0.26775,-0.06664,-0.04095,0.15394,0.05840,0.10993,-0.05795,0.09203,0.00650,-0.05381,0.12860,0.15180,0.14973,0.06997,0.17060,-0.02956,-0.07588
-0.07686,-0.04661,0.20502,0.07944,14.64681,15.12307,0.09264,-0.17187,-0.22615,-0.13920,-0.03385,0.15419,0.30196,0.19924,-0.01883,0.01275,-0.05338,-0.11592,-0.18655,-0.08625,0.01120,0.07768,0.13222,0.16230,0.05480,0.09397
-0.03003,-0.05170,0.10376,0.10116,15.86789,14.98186,0.03969,-0.00908,-0.09020,-0.19605,-0.08442,0.05426,0.05566,0.07805,0.00731,-0.10654,0.03352,-0.15839,-0.13322,-0.02478,0.09948,0.03856,0.04037,0.12042,-0.07268,-0.15735
-0.09587,-0.05624,0.22297,0.08318,14.34630,15.47080,0.09697,-0.11889,-0.00744,-0.00660,-0.04454,-0.01193,0.34192,0.06451,0.03685,-0.00627,-0.02268,-0.15283,-0.11761,-0.06294,0.03181,-0.00418,0.08276,0.09375,0.05686,0.09402
-0.07706,0.00578,0.06029,0.11824,15.90512,14.71170,0.09378,0.03903,-0.04606,-0.11161,0.00477,0.02664,-0.00683,0.10823,-0.03563,-0.13591,-0.03823,-0.15312,-0.19819,-0.05284,-0.05986,-0.09322,0.12963,0.15462,-0.08704,-0.22638
-0.05342,-0.12852,0.31538,0.13200,14.05306,15.34355,0.09320,-0.08148,-0.12015,-0.31434,0.02331,0.00216,0.31037,0.08356,0.11325,0.02489,0.01632,-0.01992,-0.09110,0.07493,0.15630,0.15482,0.11635,0.29677,0.08667,0.16283
-0.08063,-0.13015,0.30181,0.13199,14.99091,15.52872,0.09676,0.08966,-0.16657,-0.14893,-0.01005,-0.01948,0.09446,0.20371,0.11920,0.00393,-0.01511,-0.03355,-0.05981,0.05033,0.21214,0.23246,-0.01354,0.20853,0.08761,0.14398
-0.12088,-0.02373,0.15278,0.11438,16.14544,15.09381,0.17116,-0.02985,-0.06187,-0.15429,-0.05643,-0.12207,0.15937,0.24573,0.04772,-0.17173,-0.15067,-0.15491,-0.18303,-0.00186,0.04248,-0.04541,0.07043,0.11545,-0.02144,0.07518
-0.03843,-0.04975,0.21326,0.08610,15.93530,15.68374,0.05640,0.33245,-0.17441,-0.07733,-0.14223,0.20538,0.30520,0.15029,-0.03450,0.06869,0.00760,-0.15986,-0.14254,-0.13924,0.03313,-0.04952,0.17631,0.11880,-0.03304,-0.06770
-0.03073,-0.04133,0.21290,0.09511,16.03944,15.77249,0.05770,0.35393,-0.15344,-0.07361,-0.17194,0.19790,0.28683,0.18141,-0.02538,0.09120,0.02067,-0.17089,-0.16374,-0.15364,0.04367,-0.05079,0.19280,0.12683,-0.02764,-0.08867
-0.05921,-0.07249,0.22095,0.06017,12.88464,14.86325,0.01898,-0.11363,-0.05110,-0.26835,0.01493,-0.02174,0.06512,0.16959,0.00117,-0.06611,-0.01534,-0.06750,-0.12106,0.00455,-0.01206,0.02438,0.00732,0.07490,0.05633,-0.01258
-0.11683,-0.05461,0.21137,0.11858,16.06944,14.61974,0.14373,0.05679,-0.20893,-0.02858,-0.15732,-0.06747,0.32052,0.22607,-0.05332,-0.16760,-0.04194,-0.17130,-0.15293,-0.09100,0.13917,-0.05966,0.20957,0.24590,0.02556,0.07518
-0.09750,-0.08258,0.21471,0.11272,13.70600,15.55265,0.12189,-0.09570,-0.22258,-0.10298,-0.17341,0.19465,0.17747,0.21240,0.02494,0.04359,-0.02811,-0.11368,-0.09419,-0.05043,0.03577,0.12919,0.05125,0.24648,0.08936,-0.14325
-0.01930,-0.08044,0.23256,0.12120,14.52446,15.70975,0.01042,0.15275,-0.14333,-0.07571,-0.16883,0.04888,0.15476,0.16247,-0.04434,0.01130,-0.08330,-0.09440,-0.12322,0.04519,0.11284,0.00145,0.13295,0.13904,0.04973,-0.06627
-0.10148,-0.14236,0.23715,0.09972,15.68989,14.41773,0.12478,-0.06475,-0.16407,-0.11034,-0.08901,0.07424,0.40335,0.21639,0.15784,0.07096,0.00725,-0.02412,-0.08085,0.00238,0.06665,0.03995,0.06598,0.20648,0.02371,0.00691
-0.05101,-0.14480,0.16446,0.12645,14.96499,16.05729,0.09248,-0.20615,-0.11725,-0.08751,-0.04633,0.08232,0.12464,0.14441,-0.08569,0.02847,0.06358,-0.04740,-0.07960,0.02855,-0.11050,0.13514,0.36509,0.32352,0.01914,-0.03423
0.00042,-0.13831,0.17275,0.06965,15.03988,14.60510,-0.00479,0.05045,-0.09550,-0.12272,-0.11472,0.00162,0.17481,0.15005,0.00153,0.04712,0.05585,-0.04987,-0.08704,0.05018,0.02548,0.07090,0.06999,0.17569,0.06565,0.07920
-0.15344,-0.09376,0.25333,0.15352,14.15136,15.73516,0.11028,-0.27825,-0.00563,-0.03529,0.06338,-0.08485,0.16242,0.19724,0.05643,-0.00666,0.02290,-0.10372,-0.09560,-0.02238,-0.04590,-0.00254,0.16676,0.18306,0.03331,-0.29806
-0.07272,-0.06380,0.13037,0.11737,15.71783,14.09280,0.00401,0.05895,-0.12289,-0.14967,-0.23597,0.13414,0.19278,0.08226,-0.04191,-0.09099,-0.03549,-0.15347,-0.13290,0.00970,0.11871,0.07366,0.06531,0.09239,0.02197,0.09757
-0.10871,-0.03848,0.08234,0.06710,15.03360,16.00027,0.05346,-0.04143,-0.04961,-0.03131,-0.02445,-0.04915,-0.02409,0.17924,0.12229,0.04397,-0.00216,-0.10936,-0.15505,-0.02633,-0.00529,-0.00430,0.05013,0.07855,0.03681,-0.11188
-0.06352,-0.01404,0.18767,0.09990,15.63837,14.36655,0.00411,-0.31260,-0.30479,-0.14841,-0.06217,0.10101,0.15726,0.13912,-0.04708,-0.09460,-0.09987,-0.17299,-0.15435,-0.07709,-0.00218,-0.09094,0.02484,0.07248,-0.06966,-0.09868
-0.08387,0.01394,0.10539,0.22678,14.49640,15.34336,0.07261,0.06553,-0.10036,0.02398,-0.05967,0.11237,0.10892,0.02107,0.03397,-0.15448,-0.07817,-0.23870,-0.22723,-0.12288,0.05221,0.11460,0.19022,0.15321,0.01630,-0.15263
-0.12841,-0.04140,0.16310,0.12601,14.70071,14.75003,0.12510,0.17020,0.00706,-0.13936,-0.03509,0.11221,0.13263,0.27305,-0.05092,-0.09991,-0.04161,-0.09952,-0.14540,-0.04127,0.08011,0.07422,-0.03237,0.07211,-0.07579,-0.15148
-0.18519,-0.05077,0.14062,0.15566,17.28174,14.32965,0.21300,0.26617,-0.03046,-0.10487,0.08706,0.08508,0.23374,0.19148,0.05311,0.02190,-0.03497,-0.18307,-0.16807,-0.05548,0.15727,-0.01723,0.31969,0.22168,0.04476,-0.03537
-0.06637,-0.05034,0.14775,0.08085,13.84925,15.05856,0.08339,-0.06868,-0.08308,-0.00067,-0.12583,-0.12212,0.23660,0.20955,-0.05233,-0.07100,-0.01675,-0.11915,-0.16031,-0.04934,-0.02190,0.03706,-0.09150,0.09490,-0.04782,-0.05839
-0.08382,-0.02018,0.13165,0.08674,14.81075,15.04906,0.11890,-0.08987,-0.05848,-0.00721,-0.08015,-0.12485,0.17788,0.16937,-0.03209,-0.09052,-0.06697,-0.13511,-0.20428,-0.04593,-0.01487,0.05583,-0.07220,0.09266,-0.03528,-0.05826
