beta_manual,beta_acclka,sigma_z_manual,sigma_z_acclka,lambda_manual,lambda_acclka,gamma_manual__1,gamma_Z_manual__3,gamma_Z_manual__4,gamma_Z_manual__10,gamma_Z_manual__11,gamma_Z_manual__13,gamma_Z_manual__14,gamma_Z_manual__17,gamma_Z_acclka__2,gamma_Z_acclka__3,gamma_Z_acclka__5,gamma_Z_acclka__6,gamma_Z_acclka__7,gamma_Z_acclka__8,gamma_Z_acclka__9,gamma_Z_acclka__11,gamma_Z_acclka__12,gamma_Z_acclka__14,gamma_Z_acclka__15,gamma_Z_acclka__16
1.72897,6.72475,0.78759,0.44389,1.59098,1.41004,0.89746,-0.27715,-1.82122,-0.18695,0.72713,1.36169,-0.29016,0.51348,-0.24818,0.10904,0.29086,-0.08176,0.15883,0.08492,-0.02547,0.29153,-0.00780,0.14865,0.30844,0.10958
2.04003,3.19720,1.20641,0.47451,1.52057,1.42217,1.63283,-0.64198,-2.14877,-0.30286,0.45321,0.11968,0.18798,-0.81991,-0.64444,-0.51802,0.32670,-0.33967,-0.33242,-0.96797,-0.91037,-0.29542,0.00259,-0.12854,-0.84798,0.63016
1.85742,7.47428,1.24136,1.24447,1.73898,1.50392,-0.48932,-2.68400,-2.43112,1.33487,1.65469,-0.70030,1.22595,0.54956,-0.14958,-1.32082,-1.38869,-0.68352,1.53252,1.51834,1.06737,-0.72307,0.03143,1.06574,3.31362,1.49841
0.98761,3.11184,1.46770,0.85780,1.58935,1.48148,2.22384,0.08986,-0.42778,-0.42371,2.07464,-0.46291,0.90198,0.06599,0.63394,1.81111,-0.48645,-0.99744,-0.36544,0.82514,1.32007,0.21223,0.28770,0.90692,0.46995,1.39536
2.80995,6.30592,1.27270,0.48608,1.53233,1.46927,0.35200,1.03768,-2.35288,1.57525,-0.21734,-0.38853,2.63621,1.02966,0.25018,0.33984,-0.81971,-0.26646,-0.40794,-0.42157,0.25318,-1.01383,0.25628,0.27051,0.24405,0.26925
1.95588,3.82550,1.91020,0.95082,1.64705,1.45173,2.37215,0.77084,-1.97693,2.54837,-0.70103,-1.20761,-1.39376,0.42410,0.90257,0.26925,-0.27873,-0.76663,-0.17221,1.34057,0.32902,-0.86782,0.20741,-0.03901,1.12952,0.92818
3.46556,7.01451,1.63961,0.37686,1.69800,1.45225,2.02636,1.58004,-3.48718,2.85462,1.40867,-2.39948,0.94024,-0.08381,-0.34560,0.18695,0.60422,-0.00356,0.57273,0.51771,-0.09660,-0.18059,0.66631,0.19637,0.48012,0.35434
0.94552,5.38736,1.40377,0.78416,1.65632,1.43870,1.14695,1.63907,-1.47885,0.34223,0.57127,1.89958,1.74064,0.95712,-0.13953,-0.29670,-0.38335,-0.04086,-0.02406,0.10292,0.29200,-0.90151,0.78735,-0.56996,-0.19972,-0.49424
1.98854,7.62849,2.03482,1.44952,1.68057,1.49480,0.21353,-1.63986,-2.45314,-0.88198,-0.35334,-2.52568,0.62770,0.62028,-0.23239,0.73959,0.84945,-0.13917,0.88321,0.79128,-0.49387,1.51196,-2.15084,1.56591,0.21620,0.83108
2.99033,7.86161,2.23876,0.66984,1.59566,1.44356,-0.37730,1.97552,-3.46104,-1.56598,0.75248,1.92156,-0.51605,0.16966,0.02936,-0.25906,-0.42863,0.00119,-0.26452,-0.50183,0.26701,-0.71360,0.68482,-0.89450,-0.09082,-0.11826
1.40061,6.90338,1.04287,0.76602,1.70237,1.46339,1.72968,1.99801,-1.52585,0.01372,-0.66642,-1.49282,0.41925,-0.85436,-0.28000,0.15581,0.02222,-1.63020,0.80407,0.87619,0.76717,0.96253,0.67144,0.69348,-0.33366,-1.23146
1.54090,4.13396,0.86151,0.76043,1.77066,1.45802,1.13476,1.16098,-1.85073,0.81923,0.15678,-0.51560,0.08860,-0.60512,-0.43462,-0.61038,-1.06937,-1.53496,0.06879,0.33164,1.10988,0.29553,0.09778,0.42503,-0.65175,-0.51613
1.90628,5.85034,1.40352,0.57624,1.48597,1.47623,-0.32000,-1.57898,0.08518,-0.70672,-0.02354,1.40564,1.96912,0.60874,0.46680,0.33791,0.90306,0.89576,0.14257,0.04244,-0.85227,-0.07268,0.03512,-0.37749,0.52122,0.44071
6.76099,6.10546,0.70167,1.01663,1.62766,1.44071,0.65189,1.05892,-0.08468,0.76678,-0.87361,0.85824,-0.63221,-1.48204,-0.79604,-1.95077,-0.58835,-1.96031,-1.15086,1.47334,0.07051,0.01887,-0.33088,1.16412,0.27260,0.54230
2.64230,5.40036,1.48629,1.15079,1.62125,1.47931,1.23938,-1.86034,-2.39425,-1.98520,2.14299,-1.81226,1.21200,2.54381,1.41716,1.89110,0.73166,2.39065,1.75939,-1.02833,0.06468,0.33127,-0.06994,-1.11211,-0.32001,-0.37326
1.55580,16.65960,1.02258,0.72893,1.60595,1.49221,0.57725,-0.36885,-1.53935,0.95024,-1.32296,0.21264,0.03654,-0.76661,-0.46308,0.40049,-0.64615,-0.45146,-0.46724,0.36796,0.04039,0.11444,-0.16108,-1.46543,0.73142,-0.50012
1.81065,1.67952,2.07024,0.84906,1.68742,1.43655,0.77590,0.34413,-1.98344,-1.53168,2.83113,0.11503,0.63755,1.59479,0.46575,-1.19743,0.87723,0.24256,0.49604,-0.27942,0.51579,-0.16572,-0.23573,1.45503,-0.92865,0.15538
1.37201,13.98926,0.87228,0.65056,1.69414,1.43650,0.25577,-0.02349,-1.67183,-1.16191,-1.11715,0.97770,0.55282,-1.13769,-0.48733,0.22939,0.17459,-0.28217,-0.52169,-0.79591,0.12352,-0.88433,0.10643,-0.57761,0.55678,1.11389
2.26560,14.07292,1.05416,0.32131,1.71645,1.41332,0.53554,-0.65537,-2.54627,0.50731,-1.29933,1.06662,0.44400,-1.17315,-0.35066,0.38225,0.12013,-0.06617,0.08933,-0.10064,-0.06491,-0.15510,0.06046,-0.32929,0.46699,0.78331
2.73666,7.14790,1.75162,0.16112,1.76348,1.44339,0.92838,-1.60100,-3.09555,2.85658,0.48102,-1.56527,2.82066,1.45927,-0.08077,0.14798,0.06050,0.02723,0.18145,0.22734,-0.08255,0.26827,0.44661,-0.24053,-0.10839,0.26150
1.58992,5.15705,1.37141,0.46249,1.53555,1.47284,0.63206,-0.40553,-1.88292,-0.68611,0.14975,2.66106,0.91484,0.70143,-0.88451,0.66395,-0.23272,0.17540,0.26720,-0.02147,0.83045,-0.82594,0.38047,-0.27704,-0.02041,-1.09556
2.44378,5.11175,1.28905,0.39784,1.66925,1.45785,0.37492,0.40199,-2.99286,-0.75779,1.31441,-1.55045,0.00879,0.42250,0.85618,-0.60240,0.38466,-0.30312,0.01769,-0.10902,-0.63367,0.77715,-0.35429,0.41140,0.66866,0.97226
1.36283,4.32917,2.91856,1.58251,1.59790,1.44481,0.40983,0.84205,-2.03087,0.33349,3.70965,0.45596,1.91153,2.11471,-0.63120,-1.18038,3.11813,0.36413,-0.89410,-1.68477,1.02474,1.99190,2.47748,-1.25011,1.70604,1.18734
1.98269,5.82225,0.92785,0.52566,1.73575,1.45008,1.02525,0.23179,-2.26871,-0.19796,1.45233,-0.27938,-0.11552,0.74482,-0.00625,0.19292,0.31704,0.55344,0.48116,0.79753,0.13019,-0.69103,-0.75597,0.24050,-0.33787,-0.42519
1.68461,2.15714,0.99406,1.41419,1.63129,1.41278,1.14147,0.27769,-2.13026,1.41890,0.50257,-0.28634,-0.00419,0.14420,-0.27230,0.67161,1.54360,-0.30667,3.14670,1.59680,0.92125,-0.68298,-1.11025,0.11425,4.15137,0.56903
1.45333,12.40565,1.10922,0.74751,1.65606,1.43917,0.89912,-0.32459,-0.99612,0.70659,0.70334,-0.39060,-0.30835,1.08941,0.49228,-0.76535,-1.20338,0.27934,-0.14014,-0.64533,0.50482,-0.65309,-0.01085,0.06677,0.73114,0.28993
3.17748,3.91703,0.90114,0.67671,1.61154,1.46387,0.35644,0.11691,-2.65308,-0.34861,1.26246,0.10946,0.75029,-2.00273,-0.60599,0.13141,0.20318,-0.88566,0.30440,0.65562,-0.24398,0.24478,0.06355,0.58952,0.11605,-0.22069
3.01582,4.90820,2.20202,1.21923,1.62644,1.48157,0.55788,-1.49211,-1.31828,-2.56995,1.27290,-3.18204,2.04525,3.01760,1.59861,0.32438,0.04974,0.72828,0.07950,0.86168,-1.42085,-0.50671,-0.57273,-0.03719,-0.94720,-1.86504
2.49754,5.62636,2.12314,1.06483,1.63830,1.47204,0.28135,-1.61908,-1.18867,-1.42967,1.83848,-2.72967,2.04340,3.16693,1.12453,0.37210,0.31749,0.45644,0.16171,0.78992,-0.77656,-0.74571,-0.39007,-0.37775,-0.64819,-1.61178
1.26872,6.26277,0.36492,0.88302,1.70337,1.48063,0.59377,-0.05081,-0.61119,-0.33811,-0.18368,0.59756,-0.00391,-0.40906,-0.65871,1.26518,0.91184,-0.59328,-0.52256,-0.52542,-0.07579,-0.46411,0.22755,0.01306,1.39955,0.91042
2.77061,2.18002,1.91198,0.62349,1.59427,1.48684,1.56991,1.91685,-1.89424,0.35398,0.28305,-3.21192,1.25708,0.13491,0.64936,-0.57432,0.92425,-0.62092,0.61157,-0.45854,0.28151,1.12806,0.07273,0.83959,-0.49926,-0.20058
1.34093,9.71759,0.68551,1.48504,1.67117,1.45812,0.48532,-0.16418,-1.22026,-0.12015,0.71455,1.55922,0.12647,-0.10465,-1.57107,2.11272,-1.81373,2.02526,-0.12510,0.59391,-0.61761,-3.01422,-0.07557,-2.12516,1.30728,-0.23100
2.31972,3.95900,1.87337,0.40313,1.59391,1.46735,1.13918,-1.80281,-1.67927,-1.32662,-1.99313,0.01533,1.06988,0.79688,0.35757,0.16111,0.28918,-0.13127,0.06903,-0.36998,-0.24648,0.17295,-0.05165,-0.04538,-0.18636,-0.16871
1.51856,6.11832,1.06992,1.28459,1.56295,1.44754,0.14201,-0.75059,-2.16176,-1.02826,1.29808,-0.00761,0.01477,1.68102,-0.10432,0.20534,-3.58892,1.35233,-1.02067,-0.60492,1.20569,0.59537,-0.56577,0.94289,3.77450,-0.29785
1.93791,6.46871,1.25576,0.60949,1.56079,1.43870,-0.42516,-1.40538,-1.40727,-0.57734,1.63523,0.31187,-0.27697,1.93330,0.05853,0.30473,-1.58242,0.32334,-0.16903,-0.40093,0.24298,1.15556,-0.40990,0.17585,1.43190,-0.29909
1.62566,5.54973,1.70105,1.27718,1.67426,1.45921,2.30640,-1.04223,-2.15500,-1.22914,1.32752,-0.54986,0.76173,4.07099,0.41403,2.13358,-1.27879,0.38587,-1.89703,-1.15071,-0.66669,2.23958,-1.06209,0.53464,-0.55768,-1.58664
3.00832,8.65698,1.59121,0.62696,1.64902,1.45716,0.87460,-0.32774,-3.39526,-0.61386,-1.43109,-0.62604,-0.18107,-1.47907,-0.33474,-0.49979,1.39438,-0.01398,1.08530,0.19151,-0.30790,-1.00775,1.13178,0.01766,-0.18067,0.64132
1.84552,3.85330,1.44635,1.11583,1.59253,1.46287,1.06948,1.68582,-2.36215,0.38021,0.89594,2.72494,0.95570,1.38710,2.13116,-0.71542,0.00810,-1.77114,-1.81930,0.01851,-0.44635,0.69855,-2.02292,1.05579,0.00158,1.57849
1.12520,10.02710,1.15981,0.88914,1.66745,1.46103,0.37931,-0.87075,-1.37208,-0.40624,-0.27178,-1.53220,-0.36785,0.60434,-1.74773,0.61747,0.06924,2.04396,1.74130,0.63723,0.56461,-0.16746,1.80874,-0.45970,-0.04226,-0.09631
1.26228,5.75365,0.84751,0.73555,1.70417,1.50808,1.90688,0.60855,-1.21815,-0.50575,0.57124,0.12293,0.99641,-0.54682,1.47330,-0.33636,-0.05918,-0.91219,-0.50194,-0.85514,-0.36697,1.16369,-0.75419,0.06610,-0.49514,0.30555
1.15757,4.09844,0.81975,1.76472,1.75385,1.50184,1.28394,0.07064,-1.20999,-0.73554,0.00932,0.13575,1.91731,0.25849,2.68089,2.05660,-0.75698,-2.46147,-2.01654,-1.12006,0.19264,-0.23131,-1.45284,-1.32877,-1.33630,1.12523
2.77705,12.39336,1.51059,0.31535,1.53895,1.41868,-0.51245,2.95381,-1.44842,1.05319,1.80808,-0.25635,-0.76157,0.74886,-0.48414,-0.28421,0.05689,0.59977,0.43386,-0.07007,-0.02560,-0.19025,-0.04437,0.20042,0.27393,-0.22196
2.11397,12.25568,1.44658,1.54751,1.62065,1.48686,0.79742,-2.45013,-2.70714,-0.76424,1.56502,-0.12676,0.88690,-0.87507,1.30537,0.41273,-1.20807,-0.05044,-1.29539,0.53924,-0.14452,-1.01521,-0.45817,-3.05232,-1.08346,1.22583
0.81535,14.93969,0.77497,0.41312,1.61117,1.50583,0.32093,-0.13548,-1.17663,-0.24600,-0.35758,0.00774,0.34380,1.29585,-0.01293,0.10507,-0.31717,-0.86907,0.11679,-0.03016,0.02987,-0.67254,0.07098,0.35866,-0.23347,-0.41418
2.96744,10.10856,1.62642,0.98094,1.61475,1.45948,2.02225,-0.32505,-3.15895,-1.38600,-0.33443,-2.46282,-0.44214,-1.52476,1.72504,-0.31757,0.38856,-0.03561,-1.57971,0.26628,-1.40298,-0.86712,-0.25041,-0.95493,0.56699,0.62213
2.46473,12.28713,1.29670,1.08121,1.70633,1.46615,0.25756,0.69797,-2.80003,-0.28832,-1.72163,0.57618,2.58872,-0.04901,0.82624,-1.12874,0.78396,-0.09188,-1.18285,0.30661,1.09014,-1.91952,-0.97097,-0.53904,-0.10231,2.25685
